PSTC_ID,PSTC,CITY
636,11856,Imbulgoda
637,11858,Weboda
638,11870,Yakkala
639,11875,Kalagedihena
640,11880,Nittambuwa
641,11889,Debahera
642,11890,Pasyala
643,11892,Radawadunna
644,11894,Weweldeniya
645,11896,Danowita
646,82000,Hambantota
647,82002,Bundala
648,82004,Weligatta
649,82005,Bandagiriya Colony
650,82006,Gonnoruwa
651,82008,Pahala Andarawewa
652,82010,Sooriyawewa Town
653,82014,Migahajandur
654,82016,Mahagalwewa
655,82018,Ranmuduwewa
656,82100,Ambalantota
657,82102,Beragama
658,82106,RU/Ridiyagama
659,82108,Lunama
660,82109,Mamadala
661,82110,Barawakumbuka
662,82120,Hungama
663,82125,Ranna
664,82126,Kahandamodara
665,82135,Netolpitiya
666,82200,Tangalla
667,82220,Angunakolapelessa
668,82232,Vitharandeniya
669,82240,Weeraketiya
670,82242,Mulkirigala
671,82246,Wekandawela
672,82248,Hakuruwela
673,82252,Julampitiya
674,82254,Medamulana
675,82270,Middeniya
676,82274,Kariyamaditta
677,82276,Ratmalwala
678,82278,Uswewa
679,82300,Nakulugamuwa
680,82400,Beliatta
681,82401,Goda Koggalla
682,82412,Ihala Beligalla
683,82414,Nihiluwa
684,82416,Modarawana
685,82418,Yatigala
686,82420,Getamanna
687,82450,Walasmulla
688,82454,Pallekanda
689,82456,Horewelagoda
690,82458,Bowalagama
691,82462,Ittademaliya
692,82500,Katuwana
693,82504,Uda Gomadiya
694,82550,Kirama
695,82554,Rammalawarapitiya
696,82586,Gangulandeniya
697,82600,Tissamaharama
698,82602,Gonagamuwa Uduwila
699,82608,Magama
700,82612,Ranakeliya
701,82614,Kirinda
702,82615,Weerawila NewTown
703,82618,Beralihela
704,82619,Ellagala
705,82622,Kawantissapura
706,82632,Weerawila
707,82634,Lunugamwehera
708,82636,Padawkema
709,82638,Udamattala
710,40000,Jaffna
711,71000,Kegalle
712,71009,Deldeniya
713,71014,Hiriwadunna
714,71016,Molagoda
715,71022,Deewala Pallegama
716,71029,Yattogoda
717,71034,Damunupola
718,71035,Watura
719,71037,Debathgama
720,71039,Pothukoladeniya
721,71041,Aruggammana
722,71044,Beligala(Sab)
723,71046,Helamada
724,71050,Dewalegama
725,71055,Imbulgasdeniya
726,71060,Nelundeniya
727,71062,Tuntota
728,71063,Mahapallegama
729,71100,Rambukkana
730,71105,Parape
731,71106,Thotawella
732,71108,Hewadiwela
733,71113,Udagaldeniya
734,71115,Dombemada
735,71116,Yatagama
736,71130,Pattampitiya
737,71200,Undugoda
738,71202,Kabagamuwa
739,71204,Alawatura
740,71208,Bossella
741,71210,Hettimulla
742,71211,Maharangalla
743,71220,Morontota
744,71222,Gantuna
745,71230,Bulathkohupitiya
746,71232,Ampagala
747,71234,Wegalla
748,71236,Udapotha
749,71237,Dedugala
750,71300,Ruwanwella
751,71303,Wahakula
752,71304,Waharaka
753,71312,Galpatha(Sab)
754,71313,Imbulana
755,71315,Lewangama
756,71318,Gonagala
757,71320,Amitirigala
758,71321,Batuwita
759,71325,Malmaduwa
760,71326,Yatapana
761,71350,Galigamuwa Town
762,71352,Hakahinna
763,71360,Pitagaldeniya
764,71363,Atale
765,71370,Kotiyakumbura
766,71372,Kannattota
767,71400,Dehiowita
768,71401,Deloluwa
769,71403,Anhettigama
770,71407,Noori
771,71411,Maliboda
772,71417,Hinguralakanda
773,71418,Boralankada
774,71430,Deraniyagala
775,71432,Miyanawita
776,71500,Mawanella
777,71501,Kondeniya
778,71503,Ambulugala
779,71505,Galatara
780,71507,Makehelwala
781,71508,Alutnuwara
782,71510,Ussapitiya
783,71520,Hingula
784,71521,Udumulla
785,71527,Dewanagala
786,71530,Hemmatagama
787,71533,Kehelpannala
788,71540,Aranayaka
789,71541,Talgaspitiya
790,71546,Ambalakanda
791,71600,Warakapola
792,71601,Dorawaka
793,71602,Niyadurupola
794,71603,Galapitamada
795,71605,Dunumala
796,71607,Algama
797,71610,Tulhiriya
798,71612,Bopitiya (SAB)
799,71619,Tholangamuwa
800,71622,Weragala
801,71700,Yatiyantota
802,71702,Weeoya
803,71704,Malalpola
804,71706,Berannawa
805,71708,Seaforth Colony
806,71712,Welihelatenna
807,71715,Hakbellawaka
808,71716,Migastenna Sabara
809,71720,Kitulgala
810,71722,Mahabage
811,71724,Teligama
812,60000,Kurunegala
813,60003,Kudagalgamuwa
814,60004,Minhettiya
815,60013,Doratiyawa
816,60016,Indulgodakanda
817,60024,Demataluwa
818,60025,Ithanawatta
819,60027,Boyagane
820,60028,Kohilagedara
821,60029,Kosgolla
822,60034,Hindagolla
823,60036,Ambakote
824,60038,Morathiha
825,60040,Ridigama
826,60044,Delwite
827,60045,Iriyagolla
828,60047,Alawatuwala
829,60052,Panagamuwa
830,60053,Pihimbuwa
831,60054,Kanadeniyawala
832,60058,Pilessa
833,60060,Mawathagama
834,60062,Kahapathwala
835,60064,Inguruwatta
836,60066,Meetanwala
837,60072,Puswelitenna
838,60074,Anhandiya
839,60076,Buluwala
840,60080,Weuda
841,60094,Uhumiya
842,60096,Kalugamuwa
843,60100,Narammala
844,60106,Karagahagedara
845,60107,Bogamulla
846,60108,Lonahettiya
847,60112,Pahamune
848,60121,Metiyagane
849,60122,Muruthenge
850,60130,Dambadeniya
851,60135,Ihala Katugampala
852,60140,Giriulla
853,60152,Narangoda
854,60155,Bopitiya
855,60156,Elibichchiya
856,60160,Pannala
857,60162,Labbala
858,60170,Gonawila
859,60174,Daraluwa
860,60176,Sandalankawa
861,60181,Horambawa
862,60182,Alahitiyawa
863,60183,Kekunagolla
864,60184,Kirimetiyawa
865,60186,Nakkawatta
866,60188,Kithalawa
867,60195,Wewagama
868,60198,Walakumburumulla
869,60200,Kuliyapitiya
870,60202,Yakwila
871,60204,Wadumunnegedara
872,60206,Welpalla
873,60208,Thalahitimulla
874,60209,Madakumburumulla
875,60211,Ihala Gomugomuwa
876,60212,Kirindawa
877,60214,Anukkane
878,60218,Munamaldeniya
879,60221,Magulagama
880,60226,Nagollagoda
881,60227,Tharana Udawela
882,60228,Deegalla
883,60232,llukhena
884,60236,Padiwela
885,60238,lhala Kadigamuwa
886,60240,Welipennagahamulla
887,60250,Udubaddawa
888,60260,Dummalasuriya
889,60262,Watuwatta
890,60266,Etungahakotuwa
891,60280,Alawwa
892,60284,Wennoruwa
893,60286,Maharachchimulla
894,60288,Keppitiwalana
895,60291,Bujjomuwa
896,60292,Nawatalwatta
897,60300,Polgahawela
898,60304,Metikumbura
899,60306,Talawattegedara
900,60308,Aragoda
901,60312,Panaliya
902,60314,Yatigaloluwa
903,60318,Wadakada
904,60330,Pothuhera
905,60344,Maspotha
906,60347,Bamunukotuwa
907,60348,Panadaragama
908,60350,Katupota
909,60354,Moragane
910,60356,Kosdeniya
911,60400,Wariyapola
912,60402,Wellagala
913,60404,Malagane
914,60406,Minuwangete
915,60408,Mirihanagama
916,60410,Kobeigane
917,60414,Hengamuwa
918,60416,Alahengama
919,60422,Kanattewewa
920,60424,Bandara Koswatta
921,60426,Tuttiripitigama
922,60430,Hettipola
923,60434,Mandapola
924,60436,Sunandapura
925,60437,Boraluwewa
926,60438,Kuratihena
927,60439,Pihimbiya Ratmale
928,60441,Halmillawewa
929,60450,Bingiriya
930,60453,Tisogama
931,60454,Weerapokuna
932,60456,Wellarawa
933,60458,Hiruwalpola
934,60461,Padeniya
935,60462,Awulegama
936,60464,Welawa Juncton
937,60465,Wannigama
938,60470,Nikaweratiya
939,60472,Divullegoda
940,60474,Hulogedara
941,60476,Thimbiriyawa
942,60477,Hulugalla
943,60478,Sirisetagama
944,60479,Mahagirilla
945,60482,Nabadewa
946,60483,Kotawehera
947,60484,Meewellawa
948,60485,Digannewa
949,60486,Hilogama
950,60490,Wannirasnayakapura
951,60492,Kadigawa
952,60495,Monnekulama
953,60499,Torayaya
954,60500,lbbagamuwa
955,60502,Kirindigalla
956,60506,Kumbukwewa
957,60508,Kumbukgeta
958,60512,Maeliya
959,60514,Makulpotha
960,60516,Mahamukalanyaya
961,60518,Periyakadneluwa
962,60522,Gokaralla
963,60530,Dodangaslanda
964,60532,Maduragoda
965,60540,Melsiripura
966,60544,Diddeniya
967,60546,Hiriyala Lenawa
968,60548,Kimbulwanaoya
969,60549,Nelliya
970,60552,Madahapola
971,60554,Pansiyagama
972,60558,Panliyadda
973,60570,Wellawa
974,60572,Thalwita
975,60578,Makulwewa
976,60580,Nikadalupotha
977,60582,Hunupola
978,60584,Thambagalla
979,60590,Nagollagama
980,60600,Maho
981,60602,Karambe
982,60604,Balalla
983,60606,Ridibendiella
984,60612,Medivawa
985,60620,Polpitigama
986,60622,Ulpotha Pallekele
987,60624,Thalakolawewa
988,60630,Konwewa
989,60640,Moragollagama
990,60646,Siyambalangamuwa
991,60650,Ambanpola
992,60700,Galgamuwa
993,60704,Palukadawala
994,60706,Ataragalla
995,60712,Gallewa
996,60714,Makulewa
997,60716,Ehetuwewa
998,60718,Embogama
999,60721,Wannikudawewa
1000,60722,Wannilhalagama
1001,60724,Mahananneriya
1002,60731,Mahagalkadawala
1003,60732,Usgala Siyabmalangamuwa
1004,60734,Tambutta
1005,60735,Pahalagiribawa
1006,60736,Saliya Asokapura
1007,60737,Solepura
1008,60738,Solewewa
1009,60739,Warawewa
1010,60750,Meegalawa
1011,60752,Girathalana
1012,60754,Kudakatnoruwa
1013,12000,Kalutara
1014,12005,Galpatha
1015,12006,Yatawara Junction
1016,12007,Koholana
1017,12008,Bolossagama
1018,12009,Remunagoda
1019,12016,Gamagoda
1020,12020,Dodangoda
1021,12024,Bombuwala
1022,12025,Tebuwana
1023,12030,Neboda
1024,12050,Paiyagala
1025,12055,Halkandawila
1026,12060,Maggona
1027,12070,Beruwala
1028,12074,Padagoda
1029,12078,Kalawila Kiranthidiya
1030,12080,Alutgama
1031,12090,Dharga Town
1032,12094,Meegama
1033,12100,Matugama
1034,12104,Yatadolawatta
1035,12106,Nawattuduwa
1036,12108,Welipenna
1037,12112,Walagedara
1038,12114,Pannila
1039,12116,Ittapana
1040,12118,Halwala
1041,12122,Paraigama
1042,12124,Yagirala
1043,12126,Mahakalupahana
1044,12127,Utumgama
1045,12130,Meegahatenna
1046,12134,Walallawita
1047,12136,Polgampola
1048,12138,Pelawatta
1049,12142,Boralugoda
1050,12144,Pahalahewessa
1051,12148,Danawala Thiniyawala
1052,12200,Agalawatta
1053,12204,Veyangalla
1054,12210,Mahagama
1055,12214,Pelanda
1056,12216,Molkawa
1057,12218,Kelinkanda
1058,12222,Kitulgoda
1059,12224,Bellana
1060,12230,Baduraliya
1061,12232,Morapitiya
1062,12234,Hedigalla Colony
1063,12236,Gurulubadda
1064,12300,Bulathsinhala
1065,12302,Paragoda
1066,12304,Delmella
1067,12306,Halwatura
1068,12308,Diwalakada
1069,12310,Govinna
1070,12320,Anguruwatota
1071,12322,Uduwara
1072,12400,Horana
1073,12404,Pokunuwita
1074,12410,Gonapola Junction
1075,12412,Millaniya
1076,12414,Paragastota
1077,12416,Dombagoda
1078,12418,Kananwila
1079,12422,Millewa
1080,12424,Miwanapalana
1081,12426,Kuda Uduwa
1082,12428,Kandanagama
1083,12432,Poruwedanda
1084,12440,lngiriya
1085,12500,Panadura
1086,12524,Alubomulla
1087,12530,Bandaragama
1088,12534,Welmilla Junction
1089,12538,Haltota
1090,12550,Kehelwatta
1091,12560,Wadduwa
1092,12564,Morontuduwa
1093,12580,Waskaduwa
1094,20000,Kandy
1095,20032,Halloluwa
1096,20034,Yatihalagala
1097,20042,lhala Kobbekaduwa
1098,20044,Sangarajapura
1099,20048,Kulugammana
1100,20052,Uduwa
1101,20060,Hataraliyadda
